Date,PX_LAST,PX_VOLUME
3/16/2017,32.6379,20698492
3/17/2017,32.5336,43392929
3/20/2017,32.5905,17490950
3/21/2017,32.4672,31388495
3/22/2017,32.6758,26117870
3/23/2017,32.5052,20283431
3/24/2017,32.2303,27118654
3/27/2017,32.4009,17886174
3/28/2017,32.3819,18337464
3/29/2017,32.5431,17281021
3/30/2017,32.562,14993815
3/31/2017,32.4293,18611785
4/3/2017,32.4578,18088044
4/4/2017,32.5526,19282949
4/5/2017,32.4104,19280079
4/6/2017,32.3345,16285254
4/7/2017,32.325,13973510
4/10/2017,32.2682,15989255
4/11/2017,32.1639,19123012
4/12/2017,32.1544,24689361
4/13/2017,32.1165,12865826
4/17/2017,32.2303,15145568
4/18/2017,32.0786,21151220
4/19/2017,31.8606,23913011
4/20/2017,31.9838,18348503
4/21/2017,31.889,24243076
4/24/2017,31.9838,21288924
4/25/2017,32.0027,18744026
4/26/2017,32.0881,19814537
4/27/2017,32.0975,14832197
4/28/2017,32.1544,15979173
5/1/2017,32.0217,22685809
5/2/2017,31.8606,40764439
5/3/2017,31.7278,24815663
5/4/2017,31.7089,25519830
5/5/2017,31.7373,21821633
5/8/2017,31.7089,23511940
5/9/2017,31.6425,17104601
5/10/2017,31.3107,33045403
5/11/2017,31.3202,25067891
5/12/2017,31.2918,17636786
5/15/2017,31.3961,19478614
5/16/2017,30.9031,40263569
5/17/2017,30.5524,28397788
5/18/2017,30.5429,23600353
5/19/2017,30.7704,28354336
5/22/2017,30.4481,25356699
5/23/2017,30.4671,17568656
5/24/2017,30.3818,22486949
5/25/2017,30.486,17293352
5/26/2017,30.4671,11699041
5/30/2017,30.4576,16047050
5/31/2017,30.9505,29018501
6/1/2017,31.0074,23894513
6/2/2017,30.8462,20858188
6/5/2017,30.6661,14226613
6/6/2017,30.4007,17866356
6/7/2017,30.3344,16584142
6/8/2017,30.0974,33795781
6/9/2017,31.0643,30137170
6/12/2017,30.9979,28876207
6/13/2017,30.8842,17166939
6/14/2017,30.9884,13821775
6/15/2017,31.1022,18929889
6/16/2017,31.2539,31878571
6/19/2017,31.4909,20799046
6/20/2017,31.8132,26066194
6/21/2017,32.1165,25744254
6/22/2017,32.2871,22156066
6/23/2017,32.3914,30046310
6/26/2017,32.2682,14172264
6/27/2017,32.0122,15265637
6/28/2017,31.9933,14795086
6/29/2017,31.8795,14919173
6/30/2017,31.8416,13512482
7/3/2017,32.0596,8512300
7/5/2017,31.889,16197580
7/6/2017,31.4909,13924394
7/7/2017,31.6141,16996728
7/10/2017,31.671,13526294
7/11/2017,31.4435,12214478
7/12/2017,31.4909,13831109
7/13/2017,31.5477,13389024
7/14/2017,31.6899,12500755
7/17/2017,31.5193,16825293
7/18/2017,31.6236,14569448
7/19/2017,31.87,18810217
7/20/2017,31.7942,16954528
7/21/2017,31.7373,12024404
7/24/2017,31.5856,14761837
7/25/2017,31.3771,19787519
7/26/2017,31.178,15723616
7/27/2017,31.2823,16661472
7/28/2017,31.4245,16239229
7/31/2017,31.434,21982573
8/1/2017,31.3581,26634264
8/2/2017,31.2065,28854037
8/3/2017,31.6899,27267488
8/4/2017,31.889,25790667
8/7/2017,31.5762,12512569
8/8/2017,31.5477,16116151
8/9/2017,31.7089,14997801
8/10/2017,31.6804,18085881
8/11/2017,31.5193,12928473
8/14/2017,31.5762,12791545
8/15/2017,31.6425,17124142
8/16/2017,31.6236,10558641
8/17/2017,31.2349,14858762
8/18/2017,30.9695,15490145
8/21/2017,31.0548,16934286
8/22/2017,31.4245,13452221
8/23/2017,31.5098,16119454
8/24/2017,31.5003,11518441
8/25/2017,31.652,14393883
8/28/2017,31.7278,12365346
8/29/2017,31.7563,12224026
8/30/2017,31.7089,11759928
8/31/2017,32.1544,25901790
9/1/2017,32.1923,18179055
9/5/2017,32.0407,14296598
9/6/2017,32.2208,13212295
9/7/2017,32.2208,17867050
9/8/2017,32.325,15442446
9/11/2017,32.5336,16379498
9/12/2017,33.5289,37256492
9/13/2017,33.2351,20982433
9/14/2017,33.8702,27426839
9/15/2017,33.5195,28871059
9/18/2017,33.6996,16936220
9/19/2017,33.6048,15692161
9/20/2017,34.1167,25680077
9/21/2017,34.0977,15731081
9/22/2017,34.0882,14605376
9/25/2017,33.6617,22181960
9/26/2017,33.4626,17559784
9/27/2017,33.6048,14708470
9/28/2017,33.747,18062655
9/29/2017,33.8418,16003652
10/2/2017,34.1925,16642649
10/3/2017,34.2589,13594288
10/4/2017,34.0882,10849382
10/5/2017,34.1261,13605723
10/6/2017,34.1735,12060086
10/9/2017,34.2589,9751519
10/10/2017,34.5053,17739464
10/11/2017,34.5527,17233093
10/12/2017,34.4579,13994415
10/13/2017,34.4485,12769294
10/16/2017,34.1072,13581579
10/17/2017,34.3157,14019661
10/18/2017,33.965,14418003
10/19/2017,34.3537,19789423
10/20/2017,34.5243,17502245
10/23/2017,34.5053,15159383
10/24/2017,34.3821,15015341
10/25/2017,34.2778,16625693
10/26/2017,33.8797,17432863
10/27/2017,33.747,14940121
10/30/2017,33.3204,25312745
10/31/2017,33.2351,23523848
11/1/2017,33.4247,15709246
11/2/2017,33.6143,13168905
11/3/2017,33.6996,8878821
11/6/2017,33.4815,10626680
11/7/2017,33.5195,10892660
11/8/2017,33.5005,13569440
